192.168.40.1 	 Network-Device/Router 	 pfsense.localdomain 	 domain (dnsmasq) 2.86;http (nginx);http (nginx)
192.168.40.10 	 Windows-Workstation/Server 	  	 msrpc (Microsoft Windows RPC);netbios-ssn (Microsoft Windows netbios-ssn);microsoft-ds;http (Microsoft HTTPAPI httpd) 2.0;realserver
192.168.40.11 	 Network-Device/Router 	  	 realserver
192.168.40.16 	 Embedded/Other 	  	 http
192.168.40.22 	 Unidentified 	  	 
192.168.40.23 	 Unidentified 	  	 
192.168.40.25 	 Embedded/Other 	  	 http
192.168.40.26 	 Unidentified 	  	 
192.168.40.27 	 VoIP-Phone 	  	 http (lighttpd);sip
192.168.40.28 	 Windows-Workstation/Server 	  	 msrpc (Microsoft Windows RPC);netbios-ssn (Microsoft Windows netbios-ssn);microsoft-ds;vmware-auth (VMware Authentication Daemon) 1.10;vmware-auth (VMware Authentication Daemon) 1.0;realserver
192.168.40.29 	 Embedded/Other 	  	 http
192.168.40.30 	 Embedded/Other 	  	 asterix
192.168.40.33 	 Windows-Workstation/Server 	  	 msrpc (Microsoft Windows RPC);netbios-ssn (Microsoft Windows netbios-ssn);microsoft-ds;realserver
192.168.40.35 	 Embedded/Other 	  	 http
192.168.40.36 	 Unidentified 	  	 
192.168.40.41 	 Embedded/Other 	  	 synchronet-db
192.168.40.42 	 Printer 	  	 upnp (Epson WorkForce WF-2540 printer UPnP);https;printer;upnp;jetdirect
192.168.40.46 	 Embedded/Other 	  	 http;https;coldfusion-auth
192.168.40.47 	 Unidentified 	  	 
192.168.40.48 	 Unidentified 	  	 
192.168.40.50 	 Embedded/Other 	  	 http;https
192.168.40.51 	 Embedded/Other 	  	 http;https;coldfusion-auth
192.168.40.53 	 Printer 	  	 http (Debut embedded httpd) 1.30;http (Debut embedded httpd) 1.30;printer;http (Debut embedded httpd) 1.30;jetdirect
192.168.40.55 	 Embedded/Other 	  	 http
192.168.40.60 	 Embedded/Other 	  	 http;https;coldfusion-auth
192.168.40.61 	 Printer 	  	 http;https;printer;ipp;radan-http;jetdirect
192.168.40.62 	 Embedded/Other 	  	 http
192.168.40.63 	 Network-Device/Router 	  	 
192.168.40.64 	 Printer 	  	 http (Microsoft HTTPAPI httpd) 2.0;realserver
192.168.40.65 	 Unidentified 	  	 
192.168.40.66 	 Embedded/Other 	  	 http;https
192.168.40.72 	 Windows-Workstation/Server 	  	 msrpc (Microsoft Windows RPC);netbios-ssn (Microsoft Windows netbios-ssn);microsoft-ds;http (Microsoft HTTPAPI httpd) 2.0;realserver
192.168.40.74 	 Embedded/Other 	  	 http;https
192.168.40.76 	 Embedded/Other 	  	 http;https;coldfusion-auth
192.168.40.77 	 Windows-Workstation/Server 	  	 msrpc (Microsoft Windows RPC);netbios-ssn (Microsoft Windows netbios-ssn);microsoft-ds
192.168.40.79 	 Windows-Workstation/Server 	  	 msrpc (Microsoft Windows RPC);netbios-ssn (Microsoft Windows netbios-ssn);microsoft-ds;http (Microsoft HTTPAPI httpd) 2.0;realserver
192.168.40.80 	 Windows-Workstation/Server 	  	 msrpc (Microsoft Windows RPC);netbios-ssn (Microsoft Windows netbios-ssn);microsoft-ds;http (Microsoft HTTPAPI httpd) 2.0;realserver
192.168.40.82 	 Embedded/Other 	  	 http;https;coldfusion-auth
192.168.40.83 	 Windows-Workstation/Server 	  	 msrpc (Microsoft Windows RPC);netbios-ssn (Microsoft Windows netbios-ssn);microsoft-ds;realserver
192.168.40.85 	 Windows-RDP/Workstation 	  	 msrpc (Microsoft Windows RPC);microsoft-ds;http (Microsoft HTTPAPI httpd) 2.0
192.168.40.87 	 Unidentified 	  	 
192.168.40.88 	 Embedded/Other 	  	 http
192.168.40.90 	 Embedded/Other 	  	 http (LG smart TV http service);http (LG smart TV http service);distinct32
192.168.40.92 	 Windows-RDP/Workstation 	  	 msrpc (Microsoft Windows RPC);microsoft-ds;http (Microsoft HTTPAPI httpd) 2.0
192.168.40.93 	 VoIP-Phone 	  	 http (lighttpd);sip
192.168.40.94 	 Embedded/Other 	  	 realserver
192.168.40.97 	 Network-Device/Router 	  	 
192.168.40.103 	 Embedded/Other 	  	 http (Microsoft HTTPAPI httpd) 2.0
192.168.40.115 	 Embedded/Other 	  	 http;https;coldfusion-auth
192.168.40.117 	 Embedded/Other 	  	 tcpwrapped;iphone-sync
192.168.40.118 	 Embedded/Other 	  	 http (Microsoft HTTPAPI httpd) 2.0
192.168.40.120 	 Printer 	  	 msrpc (Microsoft Windows RPC);netbios-ssn (Microsoft Windows netbios-ssn);microsoft-ds;realserver
192.168.40.123 	 Network-Device/Router 	  	 http;https
192.168.40.124 	 Unidentified 	  	 
192.168.40.128 	 VoIP-Phone 	  	 http (lighttpd);sip
192.168.40.129 	 Unidentified 	  	 
192.168.40.131 	 Unidentified 	  	 
192.168.40.134 	 Embedded/Other 	  	 realserver
192.168.40.141 	 Unidentified 	  	 
192.168.40.145 	 Windows-Workstation/Server 	  	 msrpc (Microsoft Windows RPC);netbios-ssn (Microsoft Windows netbios-ssn);microsoft-ds;mmcc;ida-agent;http (Microsoft HTTPAPI httpd) 2.0;realserver
192.168.40.146 	 Embedded/Other 	  	 http
192.168.40.147 	 Unidentified 	  	 
192.168.40.149 	 Unidentified 	  	 
192.168.40.150 	 Unidentified 	  	 
192.168.40.153 	 Unidentified 	  	 
192.168.40.155 	 IP-Camera/NVR 	  	 http;rtsp;rtmp;d-s-n
192.168.40.157 	 Embedded/Other 	  	 bittorrent-tracker;realserver
192.168.40.159 	 VoIP-Phone 	  	 http (lighttpd);sip
192.168.40.163 	 Printer 	  	 http;https;printer;ipp;http-proxy;jetdirect
192.168.40.164 	 Embedded/Other 	  	 http;https
192.168.40.165 	 Embedded/Other 	  	 realserver
192.168.40.167 	 Unidentified 	  	 
192.168.40.170 	 Unidentified 	  	 
192.168.40.172 	 Unidentified 	  	 
192.168.40.175 	 Printer 	  	 ftp;tcpwrapped;printer;tcpwrapped;jetdirect
192.168.40.178 	 Windows-Workstation/Server 	  	 msrpc (Microsoft Windows RPC);netbios-ssn (Microsoft Windows netbios-ssn);microsoft-ds;sentinelsrm;enpp;realserver
192.168.40.180 	 Unidentified 	  	 
192.168.40.181 	 Unidentified 	  	 
192.168.40.184 	 Industrial-Controller 	  	 
192.168.40.188 	 Embedded/Other 	  	 http;https
192.168.40.189 	 Embedded/Other 	  	 http
192.168.40.190 	 Embedded/Other 	  	 http;https;coldfusion-auth
192.168.40.192 	 Unidentified 	  	 
192.168.40.193 	 Unidentified 	  	 
192.168.40.194 	 Unidentified 	  	 
192.168.40.195 	 Embedded/Other 	  	 http
192.168.40.201 	 Windows-Workstation/Server 	  	 msrpc (Microsoft Windows RPC);netbios-ssn (Microsoft Windows netbios-ssn);microsoft-ds;dsf;ms-wbt-server;postgresql;http-proxy
192.168.40.202 	 Windows-Workstation/Server 	  	 msrpc (Microsoft Windows RPC);netbios-ssn (Microsoft Windows netbios-ssn);microsoft-ds;dsf;ms-wbt-server (Microsoft Terminal Services);postgresql;realserver;http-proxy;soap (gSOAP) 2.8
192.168.40.211 	 Industrial-Controller 	  	 http;snet-sensor-mgmt;scp-config;documentum
192.168.40.212 	 Industrial-Controller 	  	 http;snet-sensor-mgmt;scp-config;documentum;documentum_s
192.168.40.213 	 Printer 	  	 http (nginx);http (nginx);printer;http (nginx);http (nginx);jetdirect
192.168.40.215 	 Windows-RDP/Workstation 	  	 http;msrpc (Microsoft Windows RPC);microsoft-ds;websocket (Ogar agar.io server);http (Microsoft HTTPAPI httpd) 2.0;realserver;blackice-icecap
