ip,mac,vendor,mac_type
172.17.102.1,04:f4:1c:65:27:ee,Unknown,globally-unique
172.17.102.11,c4:fc:22:32:c7:67,Unknown,globally-unique
172.17.102.12,c4:fc:22:32:a9:85,Unknown,globally-unique
172.17.102.13,c4:fc:22:32:a9:2d,Unknown,globally-unique
172.17.102.14,c4:fc:22:32:a6:a7,Unknown,globally-unique
172.17.102.15,c0:74:ad:3d:32:96,Grandstream Networks,globally-unique
172.17.102.16,c0:74:ad:3d:32:af,Grandstream Networks,globally-unique
172.17.102.20,58:04:4f:b4:7c:28,Unknown,globally-unique
172.17.102.21,b0:a7:b9:e7:17:3f,TP-Link Limited,globally-unique
172.17.102.22,ac:15:a2:a1:61:fe,Unknown,globally-unique
172.17.102.23,dc:62:79:b3:3d:40,Unknown,globally-unique
172.17.102.24,5c:e9:31:bd:f4:94,Unknown,globally-unique
172.17.102.25,5c:e9:31:bd:f5:58,Unknown,globally-unique
172.17.102.26,6c:4c:bc:d2:e0:5c,Unknown,globally-unique
172.17.102.27,ac:15:a2:8d:0c:36,Unknown,globally-unique
172.17.102.28,f0:a7:31:b2:f0:94,Unknown,globally-unique
172.17.102.29,98:25:4a:c9:f2:5e,Unknown,globally-unique
172.17.102.30,98:25:4a:c9:f3:f6,Unknown,globally-unique
172.17.102.31,98:25:4a:c9:f4:cc,Unknown,globally-unique
172.17.102.40,50:ff:20:db:79:fa,Keenetic Limited,globally-unique
172.17.102.41,de:85:96:c6:d7:84,Unknown,locally-admin
172.17.102.42,b4:b8:53:1a:ac:9f,Unknown,globally-unique
172.17.102.43,7c:4d:8f:9f:2d:36,Unknown,globally-unique
172.17.102.44,40:7a:a4:c6:97:ee,Zhejiang Dahua Technology,globally-unique
172.17.102.47,40:7a:a4:c6:b1:a5,Zhejiang Dahua Technology,globally-unique
172.17.102.48,40:7a:a4:c6:b3:cc,Zhejiang Dahua Technology,globally-unique
172.17.102.50,28:c5:c8:72:34:99,Unknown,globally-unique
172.17.102.51,28:c5:c8:dd:b3:91,Unknown,globally-unique
172.17.102.52,10:6f:d9:33:86:2a,Cloud Network Technology Singapore PTE.,globally-unique
172.17.102.53,f8:25:51:c3:b3:16,Unknown,globally-unique
172.17.102.54,30:13:8b:4a:9c:c3,Unknown,globally-unique
172.17.102.55,24:fb:e3:0e:c8:46,Unknown,globally-unique
172.17.102.56,10:5b:ad:3d:6b:0d,Mega Well Limited,globally-unique
172.17.102.57,9c:ae:d3:08:15:11,Seiko Epson,globally-unique
172.17.102.58,f2:21:d1:71:66:fe,Unknown,locally-admin
172.17.102.59,d8:ce:3a:d3:6b:9f,Xiaomi Communications,globally-unique
172.17.102.61,40:7a:a4:c6:ab:fb,Zhejiang Dahua Technology,globally-unique
172.17.102.63,40:7a:a4:c6:9f:4b,Zhejiang Dahua Technology,globally-unique
172.17.102.65,b4:22:00:cc:50:66,Brother Industries,globally-unique
172.17.102.69,3e:78:95:05:c5:ac,Unknown,locally-admin
172.17.102.70,d0:c6:37:6e:01:c7,Intel Corporate,globally-unique
172.17.102.75,3e:78:95:05:c5:ac,Unknown,locally-admin
172.17.102.77,62:f2:6e:90:a3:81,Unknown,locally-admin
172.17.102.80,f6:00:a7:ce:0d:43,Unknown,locally-admin
172.17.102.81,40:7a:a4:c6:b0:83,Zhejiang Dahua Technology,globally-unique
172.17.102.84,8e:66:97:bb:56:6b,Unknown,locally-admin
172.17.102.87,0a:e8:d6:74:c5:a3,Unknown,locally-admin
172.17.102.88,d8:43:ae:47:90:ab,Unknown,globally-unique
172.17.102.90,6e:78:06:73:a2:c2,Unknown,locally-admin
172.17.102.95,cc:47:40:7a:a1:04,Unknown,globally-unique
172.17.102.96,c2:fd:0c:e6:72:44,Unknown,locally-admin
172.17.102.99,3e:78:95:05:c5:ac,Unknown,locally-admin
172.17.102.104,fc:9d:05:5c:14:19,Unknown,globally-unique
172.17.102.105,5a:12:89:0d:8c:19,Unknown,locally-admin
172.17.102.108,36:6f:eb:a6:42:3f,Unknown,locally-admin
172.17.102.109,1a:d2:0e:23:dc:16,Unknown,locally-admin
172.17.102.110,fc:9d:05:5c:14:08,Unknown,globally-unique
172.17.102.112,4a:3f:92:ec:92:e6,Unknown,locally-admin
172.17.102.113,1c:bf:c0:f4:f1:41,Chongqing Fugui Electronics,globally-unique
172.17.102.114,36:67:cf:5f:e3:62,Unknown,locally-admin
172.17.102.116,70:66:55:83:c2:0f,AzureWave Technology,globally-unique
172.17.102.117,9c:ae:d3:b5:c2:78,Seiko Epson,globally-unique
172.17.102.119,10:f0:05:5f:01:f9,Intel Corporate,globally-unique
172.17.102.130,40:7a:a4:c6:b4:d1,Zhejiang Dahua Technology,globally-unique
