ip,mac,vendor,device_type,hostname,os,open_ports,services
192.168.40.1,A0:A3:F0:D0:E7:40,D-Link International,Network-Device/Router,pfsense.localdomain,,tcp/53;tcp/80;tcp/443,domain (dnsmasq) 2.86;http (nginx);http (nginx)
192.168.40.10,20:4E:F6:4E:A3:D5,AzureWave Technology,Windows-Workstation/Server,,,tcp/135;tcp/139;tcp/445;tcp/5357;tcp/7070,msrpc (Microsoft Windows RPC);netbios-ssn (Microsoft Windows netbios-ssn);microsoft-ds;http (Microsoft HTTPAPI httpd) 2.0;realserver
192.168.40.11,FC:34:97:65:F1:EC,Asustek Computer,Network-Device/Router,,,tcp/7070,realserver
192.168.40.16,40:7A:A4:C6:9A:C3,Unknown,Embedded/Other,,,tcp/80,http
192.168.40.22,DA:E8:39:39:C9:57,Unknown,Unidentified,,,,
192.168.40.23,3E:78:95:05:C5:AC,Unknown,Unidentified,,,,
192.168.40.25,40:7A:A4:C6:98:62,Unknown,Embedded/Other,,,tcp/80,http
192.168.40.26,56:54:68:9F:2C:CE,Unknown,Unidentified,,,,
192.168.40.27,C4:FC:22:32:A9:2D,Unknown,VoIP-Phone,,,tcp/443;tcp/5060,http (lighttpd);sip
192.168.40.28,D8:43:AE:47:90:AB,Unknown,Windows-Workstation/Server,,,tcp/135;tcp/139;tcp/445;tcp/902;tcp/912;tcp/7070,msrpc (Microsoft Windows RPC);netbios-ssn (Microsoft Windows netbios-ssn);microsoft-ds;vmware-auth (VMware Authentication Daemon) 1.10;vmware-auth (VMware Authentication Daemon) 1.0;realserver
192.168.40.29,40:7A:A4:C6:B0:83,Unknown,Embedded/Other,,,tcp/80,http
192.168.40.30,6E:78:06:73:A2:C2,Unknown,Embedded/Other,,,tcp/8600,asterix
192.168.40.33,7C:21:4A:46:BA:86,Intel Corporate,Windows-Workstation/Server,,,tcp/135;tcp/139;tcp/445;tcp/7070,msrpc (Microsoft Windows RPC);netbios-ssn (Microsoft Windows netbios-ssn);microsoft-ds;realserver
192.168.40.35,40:7A:A4:C6:B4:D1,Unknown,Embedded/Other,,,tcp/80,http
192.168.40.36,DE:85:96:C6:D7:84,Unknown,Unidentified,,,,
192.168.40.41,06:BC:F3:08:73:DB,Unknown,Embedded/Other,,,tcp/6100,synchronet-db
192.168.40.42,9C:AE:D3:08:37:98,Seiko Epson,Printer,,,tcp/80;tcp/443;tcp/515;tcp/631;tcp/9100,upnp (Epson WorkForce WF-2540 printer UPnP);https;printer;upnp;jetdirect
192.168.40.46,5C:E9:31:BD:F4:94,Unknown,Embedded/Other,,,tcp/80;tcp/443;tcp/44443,http;https;coldfusion-auth
192.168.40.47,42:C8:9E:9B:C0:F3,Unknown,Unidentified,,,,
192.168.40.48,70:15:FB:14:DE:3A,Unknown,Unidentified,,,,
192.168.40.50,6C:4C:BC:D2:E0:5C,Unknown,Embedded/Other,,,tcp/80;tcp/443,http;https
192.168.40.51,5C:E9:31:BD:F5:58,Unknown,Embedded/Other,,,tcp/80;tcp/443;tcp/44443,http;https;coldfusion-auth
192.168.40.53,1C:BF:C0:F4:F1:41,Chongqing Fugui Electronics,Printer,,,tcp/80;tcp/443;tcp/515;tcp/631;tcp/9100,http (Debut embedded httpd) 1.30;http (Debut embedded httpd) 1.30;printer;http (Debut embedded httpd) 1.30;jetdirect
192.168.40.55,40:7A:A4:C6:B1:88,Unknown,Embedded/Other,,,tcp/80,http
192.168.40.60,98:25:4A:C9:F2:5E,Unknown,Embedded/Other,,,tcp/80;tcp/443;tcp/44443,http;https;coldfusion-auth
192.168.40.61,7C:4D:8F:75:FB:C2,HP Inc.,Printer,,,tcp/80;tcp/443;tcp/515;tcp/631;tcp/8088;tcp/9100,http;https;printer;ipp;radan-http;jetdirect
192.168.40.62,40:7A:A4:C6:97:EE,Unknown,Embedded/Other,,,tcp/80,http
192.168.40.63,50:FF:20:DB:79:FA,Keenetic Limited,Network-Device/Router,,,,
192.168.40.64,7C:4D:8F:9F:2D:36,HP Inc.,Printer,,,tcp/5357;tcp/7070,http (Microsoft HTTPAPI httpd) 2.0;realserver
192.168.40.65,36:6F:EB:A6:42:3F,Unknown,Unidentified,,,,
192.168.40.66,58:04:4F:B4:7C:28,Unknown,Embedded/Other,,,tcp/80;tcp/443,http;https
192.168.40.72,C0:18:03:59:93:DC,Unknown,Windows-Workstation/Server,,,tcp/135;tcp/139;tcp/445;tcp/5357;tcp/7070,msrpc (Microsoft Windows RPC);netbios-ssn (Microsoft Windows netbios-ssn);microsoft-ds;http (Microsoft HTTPAPI httpd) 2.0;realserver
192.168.40.74,AC:15:A2:A1:61:FE,Unknown,Embedded/Other,,,tcp/80;tcp/443,http;https
192.168.40.76,98:25:4A:C9:F3:F6,Unknown,Embedded/Other,,,tcp/80;tcp/443;tcp/44443,http;https;coldfusion-auth
192.168.40.77,CC:47:40:7A:A1:04,Unknown,Windows-Workstation/Server,,,tcp/135;tcp/139;tcp/445,msrpc (Microsoft Windows RPC);netbios-ssn (Microsoft Windows netbios-ssn);microsoft-ds
192.168.40.79,50:EB:F6:21:BA:4D,Unknown,Windows-Workstation/Server,,,tcp/135;tcp/139;tcp/445;tcp/5357;tcp/7070,msrpc (Microsoft Windows RPC);netbios-ssn (Microsoft Windows netbios-ssn);microsoft-ds;http (Microsoft HTTPAPI httpd) 2.0;realserver
192.168.40.80,70:66:55:83:C2:0F,AzureWave Technology,Windows-Workstation/Server,,,tcp/135;tcp/139;tcp/445;tcp/5357;tcp/7070,msrpc (Microsoft Windows RPC);netbios-ssn (Microsoft Windows netbios-ssn);microsoft-ds;http (Microsoft HTTPAPI httpd) 2.0;realserver
192.168.40.82,DC:62:79:B3:3D:40,Unknown,Embedded/Other,,,tcp/80;tcp/443;tcp/44443,http;https;coldfusion-auth
192.168.40.83,48:22:54:6F:79:8C,Unknown,Windows-Workstation/Server,,,tcp/135;tcp/139;tcp/445;tcp/7070,msrpc (Microsoft Windows RPC);netbios-ssn (Microsoft Windows netbios-ssn);microsoft-ds;realserver
192.168.40.85,2C:58:B9:58:37:B5,Unknown,Windows-RDP/Workstation,,,tcp/135;tcp/445;tcp/5357,msrpc (Microsoft Windows RPC);microsoft-ds;http (Microsoft HTTPAPI httpd) 2.0
192.168.40.87,0E:EC:F4:E3:D1:6F,Unknown,Unidentified,,,,
192.168.40.88,40:7A:A4:C6:AB:FB,Unknown,Embedded/Other,,,tcp/80,http
